arrival_rate,bp_parameter_L,bp_parameter_H
20.0,4.073,262144,1054554.5360169858
20.0,4.639,32768,1484762.2437057053
20.0,5.649,4096,2712878.3996480564
20.0,7.918,512,5426685.447784034
20.0,16.772,64,9978286.653005965
