arrival_rate,bp_parameter_L,bp_parameter_H
36.0,4.073,262144,571300.615468774
36.0,4.639,32768,165935.74043888194
36.0,5.649,4096,90593.41193486423
36.0,7.918,512,56626.52412959849
36.0,16.772,64,26747.779216226532
