arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
20.0,4.073,262144,2546954.6764440075
20.0,4.639,32768,4820791.195694748
20.0,5.649,4096,8074907.122411502
20.0,7.918,512,13646399.769475244
20.0,16.772,64,27575970.685453195
