arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
30.0,4.073,262144,655727.8466986133
30.0,4.639,32768,508910.52755764447
30.0,5.649,4096,604166.7642307047
30.0,7.918,512,1500261.0568164461
30.0,16.772,64,1535691.7699942265
