arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
26.0,4.073,262144,998680.8629387068
26.0,4.639,32768,1705849.6313186577
26.0,5.649,4096,3530875.160317623
26.0,7.918,512,7721159.707907291
26.0,16.772,64,12476878.233861785
