arrival_rate,bp_parameter_L,bp_parameter_H
36.0,4.073,262144,66135.15302772044
36.0,4.639,32768,156138.77039672114
36.0,5.649,4096,59088.86746249246
36.0,7.918,512,31714.71210652873
36.0,16.772,64,26779.539708516277
