arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
24.0,4.073,262144,1109554.7330181599
24.0,4.639,32768,1864259.2809392153
24.0,5.649,4096,5301603.077332459
24.0,7.918,512,9803550.131923588
24.0,16.772,64,18367784.75873925
