arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
40.0,4.073,262144,91859.35133670387
40.0,4.639,32768,110233.95759928063
40.0,5.649,4096,82739.81624345077
40.0,7.918,512,40605.11407446111
40.0,16.772,64,24760.414293787573
