arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
26.0,4.073,262144,744728.2536583395
26.0,4.639,32768,2330864.5874979524
26.0,5.649,4096,3120537.452509904
26.0,7.918,512,7110219.721361921
26.0,16.772,64,13666860.1653551
