arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
20.0,4.073,262144,2200623.5465597017
20.0,4.639,32768,5383787.104725353
20.0,5.649,4096,7931196.061818608
20.0,7.918,512,15143168.621573195
20.0,16.772,64,28098008.90262358
