arrival_rate,bp_parameter_L,bp_parameter_H
28.0,4.073,262144,174657.96721879023
28.0,4.639,32768,126392.9318989001
28.0,5.649,4096,993967.5845318096
28.0,7.918,512,1090092.4923500759
28.0,16.772,64,2323988.454205829
