arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
24.0,4.073,262144,587990.7597522261
24.0,4.639,32768,2632953.3546098
24.0,5.649,4096,4618554.826581038
24.0,7.918,512,9813291.787428314
24.0,16.772,64,18064527.312088408
