arrival_rate,bp_parameter_L,bp_parameter_H
38.0,4.073,262144,50708.59561257835
38.0,4.639,32768,63246.5108998117
38.0,5.649,4096,71614.88746063907
38.0,7.918,512,32592.022981091555
38.0,16.772,64,18106.27035035101
