arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
30.0,4.073,262144,299831.7083298563
30.0,4.639,32768,890164.8212892936
30.0,5.649,4096,785466.7655337176
30.0,7.918,512,550942.9753041598
30.0,16.772,64,1993951.0028122556
