arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
38.0,4.073,262144,1230373.5521279706
38.0,4.639,32768,83856.56816254764
38.0,5.649,4096,91041.8115867649
38.0,7.918,512,44052.01774039414
38.0,16.772,64,29941.583658851447
