arrival_rate,bp_parameter_L,bp_parameter_H
24.0,4.073,262144,643717.9090665414
24.0,4.639,32768,789668.7414340269
24.0,5.649,4096,1799110.368024708
24.0,7.918,512,3619797.515483981
24.0,16.772,64,6236999.440691413
