arrival_rate,bp_parameter_L,bp_parameter_H
38.0,4.073,262144,108049.87482639673
38.0,4.639,32768,96853.47546681017
38.0,5.649,4096,127266.5929221019
38.0,7.918,512,51641.19387659429
38.0,16.772,64,19613.95452222728
