arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
26.0,4.073,262144,1449364.1493765465
26.0,4.639,32768,1923209.772565125
26.0,5.649,4096,3297304.4055898143
26.0,7.918,512,7370684.982609079
26.0,16.772,64,13050696.515226342
