arrival_rate,bp_parameter_L,bp_parameter_H
40.0,4.073,262144,248371.1501261771
40.0,4.639,32768,174828.1821417817
40.0,5.649,4096,67564.50195923891
40.0,7.918,512,31868.64179722757
40.0,16.772,64,17742.712898539503
