arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
24.0,4.073,262144,2044966.6867491999
24.0,4.639,32768,2429992.043763724
24.0,5.649,4096,4669174.200008713
24.0,7.918,512,9169110.669223325
24.0,16.772,64,18431610.29826271
