arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
22.0,4.073,262144,1921184.1262120088
22.0,4.639,32768,2406015.4685115805
22.0,5.649,4096,5657455.739330092
22.0,7.918,512,13352335.012376038
22.0,16.772,64,22831268.24670226
