arrival_rate,bp_parameter_L,bp_parameter_H
22.0,4.073,262144,654957.2654601214
22.0,4.639,32768,1380961.3685081853
22.0,5.649,4096,1641439.1470822182
22.0,7.918,512,4805240.768968398
22.0,16.772,64,7772002.657580928
