arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
22.0,4.073,262144,1860472.4929447358
22.0,4.639,32768,2861109.4475931884
22.0,5.649,4096,6152675.648425895
22.0,7.918,512,12472165.35208586
22.0,16.772,64,23322130.043898948
