arrival_rate,bp_parameter_L,bp_parameter_H
26.0,4.073,262144,862756.810145246
26.0,4.639,32768,601391.1194073288
26.0,5.649,4096,982661.743296746
26.0,7.918,512,2078252.5125871976
26.0,16.772,64,4176813.7904567877
