arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
36.0,4.073,262144,88115.86308945739
36.0,4.639,32768,115208.89039479548
36.0,5.649,4096,123618.25167425723
36.0,7.918,512,78162.79737829244
36.0,16.772,64,38973.49658421733
