arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
34.0,4.073,262144,107700.36257599136
34.0,4.639,32768,138366.4396484928
34.0,5.649,4096,333308.0237033006
34.0,7.918,512,95832.79731386328
34.0,16.772,64,62352.865042434096
