arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
36.0,4.073,262144,199876.08607334696
36.0,4.639,32768,133962.40315849817
36.0,5.649,4096,104814.250681861
36.0,7.918,512,66720.7222832607
36.0,16.772,64,34723.89461163595
