arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
20.0,4.073,262144,2391354.700376128
20.0,4.639,32768,4539616.074090517
20.0,5.649,4096,6721876.240408328
20.0,7.918,512,15345936.290995607
20.0,16.772,64,28105675.777735747
