arrival_rate,bp_parameter_L,bp_parameter_H
38.0,4.073,262144,200253.8690163064
38.0,4.639,32768,170059.68780695795
38.0,5.649,4096,59290.76748533451
38.0,7.918,512,36102.10963364883
38.0,16.772,64,20424.50966363697
