arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
26.0,4.073,262144,635071.9752256433
26.0,4.639,32768,1371846.8961662594
26.0,5.649,4096,3636699.4673309205
26.0,7.918,512,6483162.416368882
26.0,16.772,64,13086932.324054556
