arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
30.0,4.073,262144,587060.5455964487
30.0,4.639,32768,207241.55452514827
30.0,5.649,4096,522541.6676007761
30.0,7.918,512,3487161.696680554
30.0,16.772,64,2042270.057355295
