arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
40.0,4.073,262144,250068.39890717898
40.0,4.639,32768,154634.15038405973
40.0,5.649,4096,56417.18420835978
40.0,7.918,512,39161.220984540305
40.0,16.772,64,22363.046818356393
