arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
28.0,4.073,262144,703347.6027385037
28.0,4.639,32768,1370426.907716351
28.0,5.649,4096,2586169.674066843
28.0,7.918,512,3046182.685932182
28.0,16.772,64,7295332.932024213
