arrival_rate,bp_parameter_L,bp_parameter_H
34.0,4.073,262144,55282.70280114748
34.0,4.639,32768,145003.40795650287
34.0,5.649,4096,114841.90181723742
34.0,7.918,512,65703.76167313405
34.0,16.772,64,33625.584099016036
