arrival_rate,bp_parameter_L,bp_parameter_H
36.0,4.073,262144,115251.86242312963
36.0,4.639,32768,93545.37078872476
36.0,5.649,4096,50774.12621601675
36.0,7.918,512,45974.93060353653
36.0,16.772,64,24201.575981741353
