arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
30.0,4.073,262144,303888.0916505285
30.0,4.639,32768,242573.9332718996
30.0,5.649,4096,1005255.772556915
30.0,7.918,512,593186.8298655997
30.0,16.772,64,1009754.5090283083
