arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
36.0,4.073,262144,499210.8426236353
36.0,4.639,32768,111116.04532199659
36.0,5.649,4096,102942.67087558979
36.0,7.918,512,69424.91039245208
36.0,16.772,64,39600.42912646276
