arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
22.0,4.073,262144,1224589.6444732007
22.0,4.639,32768,3867234.656135441
22.0,5.649,4096,6904795.51766611
22.0,7.918,512,12918030.490389701
22.0,16.772,64,23653980.64179112
