arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
40.0,4.073,262144,76631.25029646848
40.0,4.639,32768,104951.39073399646
40.0,5.649,4096,86122.1016522472
40.0,7.918,512,42520.391566870596
40.0,16.772,64,24436.318257871826
