arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
26.0,4.073,262144,1132164.526522095
26.0,4.639,32768,1278048.7334472032
26.0,5.649,4096,3171891.1847987473
26.0,7.918,512,7550410.98734016
26.0,16.772,64,12380378.233895442
