arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
40.0,4.073,262144,315715.08827422233
40.0,4.639,32768,138177.32689555114
40.0,5.649,4096,47565.883151687616
40.0,7.918,512,35601.72011293836
40.0,16.772,64,23022.36527813769
