arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
22.0,4.073,262144,1973447.4309385594
22.0,4.639,32768,2580157.509249387
22.0,5.649,4096,5985027.991716246
22.0,7.918,512,12448734.21962438
22.0,16.772,64,22850303.742909107
