arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
36.0,4.073,262144,237334.94439504688
36.0,4.639,32768,156338.49913249136
36.0,5.649,4096,155131.98994404732
36.0,7.918,512,59203.152052910154
36.0,16.772,64,37215.3504753079
