arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
26.0,4.073,262144,1696455.7645482537
26.0,4.639,32768,1883855.2042895972
26.0,5.649,4096,2603377.3830948905
26.0,7.918,512,7291713.7654553475
26.0,16.772,64,11292516.293746049
