arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
22.0,4.073,262144,1480790.1303256988
22.0,4.639,32768,3682168.5421785084
22.0,5.649,4096,6278545.1238042405
22.0,7.918,512,12089738.364719188
22.0,16.772,64,23709910.352740623
