arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
22.0,4.073,262144,2219794.1901865588
22.0,4.639,32768,3534638.420232825
22.0,5.649,4096,6738754.558953828
22.0,7.918,512,11823830.057638725
22.0,16.772,64,22842202.75953659
