arrival_rate,bp_parameter_L,bp_parameter_H
30.0,4.073,262144,122856.09963286316
30.0,4.639,32768,803612.804247792
30.0,5.649,4096,396319.14056729584
30.0,7.918,512,400411.263502914
30.0,16.772,64,971297.0253794665
