arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
36.0,4.073,262144,65805.16972852513
36.0,4.639,32768,228622.48454384357
36.0,5.649,4096,112898.88165965152
36.0,7.918,512,55569.07488882643
36.0,16.772,64,41119.749610132596
