arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
38.0,4.073,262144,431880.7017973829
38.0,4.639,32768,227416.512335846
38.0,5.649,4096,117110.66942426724
38.0,7.918,512,55288.46442070895
38.0,16.772,64,28223.341917639733
