arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
32.0,4.073,262144,182636.9599150183
32.0,4.639,32768,266885.52406790445
32.0,5.649,4096,441617.5688047295
32.0,7.918,512,200606.27608576955
32.0,16.772,64,165909.74155244773
