arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
30.0,4.073,262144,307516.7908456382
30.0,4.639,32768,671897.9907084111
30.0,5.649,4096,1562951.9618606325
30.0,7.918,512,1107213.5479680512
30.0,16.772,64,2969090.2457660325
