arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
32.0,4.073,262144,212905.94548767302
32.0,4.639,32768,246115.00976575972
32.0,5.649,4096,192902.25230152186
32.0,7.918,512,292495.18877752504
32.0,16.772,64,210470.65569812813
