arrival_rate,bp_parameter_L,bp_parameter_H
40.0,4.073,262144,112615.3301198376
40.0,4.639,32768,103811.00164722427
40.0,5.649,4096,65147.59921132935
40.0,7.918,512,32093.01827500804
40.0,16.772,64,16818.954872405124
