arrival_rate,bp_parameter_L,bp_parameter_H
38.0,4.073,262144,50391.95164904808
38.0,4.639,32768,69914.89349916797
38.0,5.649,4096,43360.049850063595
38.0,7.918,512,32919.17509598319
38.0,16.772,64,17211.908406681694
