arrival_rate,bp_parameter_L,bp_parameter_H
20.0,4.073,262144,709002.1838541825
20.0,4.639,32768,960476.4179260207
20.0,5.649,4096,1743608.6990368566
20.0,7.918,512,3601694.195006844
20.0,16.772,64,7324968.276977791
