arrival_rate,bp_parameter_L,bp_parameter_H
40.0,4.073,262144,48981.93788530625
40.0,4.639,32768,138264.4537146117
40.0,5.649,4096,56907.81083471758
40.0,7.918,512,21675.885126102694
40.0,16.772,64,14719.575639263518
