arrival_rate,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time
22.0,4.073,262144,1000946.0552467351
22.0,4.639,32768,2343405.212271237
22.0,5.649,4096,4055779.0869587557
22.0,7.918,512,8130301.278545279
22.0,16.772,64,18737062.408964753
