arrival_rate,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time
38.0,4.073,262144,174069.73998372033
38.0,4.639,32768,69702.93893373507
38.0,5.649,4096,55706.78846424374
38.0,7.918,512,40978.1675895836
38.0,16.772,64,24919.510488771644
