arrival_rate,bp_parameter_L,bp_parameter_H
26.0,4.073,262144,331113.0325900809
26.0,4.639,32768,709820.7629148362
26.0,5.649,4096,732158.3047210487
26.0,7.918,512,1652269.8171131131
26.0,16.772,64,4652300.306271297
