arrival_rate,bp_parameter_L,bp_parameter_H
34.0,4.073,262144,262960.95526522567
34.0,4.639,32768,179664.26647221757
34.0,5.649,4096,77377.12470749996
34.0,7.918,512,47557.95158540788
34.0,16.772,64,33275.77485198504
