arrival_rate,bp_parameter_L,bp_parameter_H
36.0,4.073,262144,27215.150394587203
36.0,4.639,32768,35543.3725889933
36.0,5.649,4096,57647.2399772964
36.0,7.918,512,38258.93128408059
36.0,16.772,64,20559.118025829805
