arrival_rate,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time
20.0,4.073,262144,1471326.3985465632
20.0,4.639,32768,3618858.4964896045
20.0,5.649,4096,5207950.957555476
20.0,7.918,512,10042040.173035009
20.0,16.772,64,20694004.7990324
