arrival_rate,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time
32.0,4.073,262144,697126.3053952275
32.0,4.639,32768,191395.76148389492
32.0,5.649,4096,155557.18954455302
32.0,7.918,512,102215.40065469587
32.0,16.772,64,180462.98577547696
