arrival_rate,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time
36.0,4.073,262144,60102.70176123532
36.0,4.639,32768,170544.6599926248
36.0,5.649,4096,84430.52385245517
36.0,7.918,512,41012.51686985328
36.0,16.772,64,36607.7919847674
